Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
XAU,5825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,5850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,5875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,5880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,5925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,5950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,5975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,6025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,6050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,6075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,6100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,6150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,6200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
XAU,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.766211682072,4017.4337883179287,4194.932423364144,3958.2675766358566,DEC26,AUG26,2026-08-07,2026-11-23,4076.6000000000004,3993.369159699849,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,SEP26=4077.2;AUG26=4076.6;OCT26=4077.8;DEC26=4110.2;JAN27=4144.9;NOV26=4108;OCT27=4738.2;JUN27=4206.7;FEB27=4146.1;DEC27=4325;MAR27=4176.5;APR27=4175.8;MAY27=4200.3;DEC28=5393.9;AUG27=4669.8;JAN28=5866.7,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-12,7,34,0.0,NONE,4997,4620,0,71,306,NONE,MMG,OK,NONE,NONE,NONE
