Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
XAU,4420.0,13763685.842168044,100.70055964573737,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4425.0,52310499.20913318,387.82122299515675,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4430.0,7070161.797017039,96.62477719005007,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4435.0,8983716.638113981,55.510473642135366,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4440.0,6627103.809654136,62.08086950938997,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4445.0,4404265.250240314,31.63823498163806,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4450.0,151507459.5409811,1108.5927680902432,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4455.0,5635962.810634858,38.50599248946407,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4460.0,7021909.877671916,45.7374784854444,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4465.0,7986860.306375929,59.73862371304491,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4470.0,6386383.674152308,36.000625277238726,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4475.0,74152848.04472037,408.355835540613,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4480.0,11845980.993670428,64.65331805783087,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4485.0,2457417.162924205,15.492391956511094,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
XAU,4490.0,14842791.992540626,103.20491822229721,0.0,0.0,0.0,0.0,0.0,0.0,4492.696594890375,4323.503405109625,4577.29318978075,4238.9068102192505,DEC26,AUG26,2026-08-14,2026-11-23,4408.1,4060.4162131527564,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;AUG27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4408.1;AUG26=4408.1;OCT26=4408;NOV26=4440.3;DEC26=4441.1;JAN27=4477.8;OCT27=3898.9;JUN27=4542.8;FEB27=4478.7;DEC27=4662.9;APR27=4508.85;MAR27=4510.6;JUL27=3324.2;MAY27=4540;AUG27=4227;DEC28=5405.3;JAN28=5657.8;FEB28=3867.3,JUL27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-19,5,9,0.0,NONE,5671,5179,0,0,491,NONE,NONE,OK,NONE,NONE,2026-08-11
